Rank,Name,Country,Born,Order,Consistory,Office,Ref.
14,Michael Michai Kitbunchu*,Thailand,"25 January 1929
(age 96)",CP,"2 February 1983
John Paul II",Archbishop emeritus of Bangkok,
15,Paul Poupard*,France,"30 August 1930
(age 94)",CP,"25 May 1985
John Paul II",President emeritus of the Pontifical Councils for Culture and for Interreligious Dialogue,
16,Friedrich Wetter*,Germany,"20 February 1928
(age 97)",CP,"25 May 1985
John Paul II",Archbishop emeritus of Munich and Freising,
17,Nicolás de Jesús López Rodríguez*,Dominican Republic,"31 October 1936
(age 88)",CP,"28 June 1991
John Paul II",Archbishop emeritus of Santo Domingo,
18,Roger Mahony*,United States,"27 February 1936
(age 89)",CP,"28 June 1991
John Paul II",Archbishop emeritus of Los Angeles,
19,Camillo Ruini*,Italy,"19 February 1931
(age 94)",CP,"28 June 1991
John Paul II",Vicar General emeritus for Rome and Archpriest emeritus of the Papal Basilica of Saint John Lateran,
20,Julius Darmaatmadja SJ*,Indonesia,"20 December 1934
(age 90)",CP,"26 November 1994
John Paul II",Archbishop emeritus of Jakarta,
21,Emmanuel Wamala*,Uganda,"15 December 1926
(age 98)",CP,"26 November 1994
John Paul II",Archbishop emeritus of Kampala,
22,Adam Maida*,United States,"18 March 1930
(age 95)",CP,"26 November 1994
John Paul II",Archbishop emeritus of Detroit,
23,Vinko Puljić,Bosnia and Herzegovina,"8 September 1945
(age 79)",CP,"26 November 1994
John Paul II",Archbishop emeritus of Vrhbosna,
24,Juan Sandoval Íñiguez*,Mexico,"28 March 1933
(age 92)",CP,"26 November 1994
John Paul II",Archbishop emeritus of Guadalajara,
25,James Stafford*,United States,"26 July 1932
(age 92)",CP,"21 February 1998
John Paul II",Major Penitentiary emeritus,
26,Salvatore De Giorgi*,Italy,"6 September 1930
(age 94)",CP,"21 February 1998
John Paul II",Archbishop emeritus of Palermo,
27,Antonio María Rouco Varela*,Spain,"20 August 1936
(age 88)",CP,"21 February 1998
John Paul II",Archbishop emeritus of Madrid,
28,Polycarp Pengo*,Tanzania,"5 August 1944
(age 80)",CP,"21 February 1998
John Paul II",Archbishop emeritus of Dar-es-Salaam,
29,Christoph Schönborn OP*,Austria,"22 January 1945
(age 80)",CP,"21 February 1998
John Paul II",Archbishop emeritus of Vienna,
30,Norberto Rivera Carrera*,Mexico,"6 June 1942
(age 82)",CP,"21 February 1998
John Paul II",Archbishop emeritus of Mexico,
31,Jānis Pujats*,Latvia,"14 November 1930
(age 94)",CP,"21 February 1998
John Paul II",Archbishop emeritus of Riga,
